Date,Adj Close_BBVA.MC,Close_BBVA.MC,Dividends_BBVA.MC,High_BBVA.MC,Low_BBVA.MC,Open_BBVA.MC,Stock Splits_BBVA.MC,Volume_BBVA.MC,tasa_interes,inflacion,PIB,desempleo,tipo_cambio,liquidez_M2,materias_primas,politica_monetaria,sentimiento_global,inflacion_eurozona,desempleo_espana,"('VIX', '^VIX')"
2003-05-02,2.8009486198425293,8.550621032714844,0.0,8.550621032714844,8.233575820922852,8.550621032714844,0.0,37679098,1.26,182.9,14743.567,6.1,1.12,5965.3,63.1125094945253,3.57,6.26,81.0,11.3,20.6299991607666
2003-05-05,2.8072433471679688,8.569835662841797,0.0,8.713948249816895,8.464154243469238,8.569835662841797,0.0,20949226,1.26,182.9,14743.567,6.1,1.1271,5965.3,63.1125094945253,3.57,6.25,81.0,11.3,21.1299991607666
2003-05-06,2.7883596420288086,8.512190818786621,0.0,8.656303405761719,8.406510353088379,8.512190818786621,0.0,26575095,1.26,182.9,14743.567,6.1,1.1354,5965.3,63.1125094945253,3.57,6.34,81.0,11.3,20.799999237060547
2003-05-07,2.662475109100342,8.127894401550293,0.0,8.569835662841797,8.1182861328125,8.127894401550293,0.0,41651370,1.26,182.9,14743.567,6.1,1.134,5965.3,63.1125094945253,3.57,6.46,81.0,11.3,21.0
2003-05-08,2.5712082386016846,7.849277973175049,0.0,8.147109031677246,7.8396711349487305,7.849277973175049,0.0,43553017,1.26,182.9,14743.567,6.1,1.1453,5965.3,63.1125094945253,3.57,6.55,81.0,11.3,21.239999771118164
2003-05-09,2.6435916423797607,8.0702486038208,0.0,8.09907054901123,7.8300628662109375,8.0702486038208,0.0,38309018,1.26,182.9,14743.567,6.1,1.1498,5965.3,63.1125094945253,3.57,6.53,81.0,11.3,19.690000534057617
2003-05-12,2.6435916423797607,8.0702486038208,0.0,8.175930976867676,7.858884811401367,8.0702486038208,0.0,27328516,1.26,182.9,14743.567,6.1,1.1557,5965.3,63.1125094945253,3.57,6.53,81.0,11.3,19.520000457763672
2003-05-13,2.624708414077759,8.012603759765625,0.0,8.156716346740723,7.974174976348877,8.012603759765625,0.0,25527487,1.26,182.9,14743.567,6.1,1.1499,5965.3,63.1125094945253,3.57,6.53,81.0,11.3,19.90999984741211
2003-05-14,2.6278562545776367,8.022212028503418,0.0,8.195145606994629,7.983781814575195,8.022212028503418,0.0,21302049,1.26,182.9,14743.567,6.1,1.1498,5965.3,63.1125094945253,3.57,6.62,81.0,11.3,20.0
2003-05-15,2.6719162464141846,8.156716346740723,0.0,8.175930976867676,7.983781814575195,8.156716346740723,0.0,17419314,1.26,182.9,14743.567,6.1,1.1457,5965.3,63.1125094945253,3.57,6.55,81.0,11.3,19.239999771118164
2003-05-16,2.722271203994751,8.31043529510498,0.0,8.33925724029541,8.08946418762207,8.31043529510498,0.0,22275465,1.26,182.9,14743.567,6.1,1.1542,5965.3,63.1125094945253,3.57,6.63,81.0,11.3,18.399999618530273
2003-05-19,2.5806493759155273,7.8780999183654785,0.0,8.233575820922852,7.8780999183654785,7.8780999183654785,0.0,27799505,1.26,182.9,14743.567,6.1,1.1686,5965.3,63.1125094945253,3.57,6.66,81.0,11.3,20.510000228881836
