Date,Close_BBVA.MC,Dividends_BBVA.MC,High_BBVA.MC,Low_BBVA.MC,Open_BBVA.MC,Stock Splits_BBVA.MC,Volume_BBVA.MC,tasa_interes,inflacion,PIB,desempleo,tipo_cambio,liquidez_M2,materias_primas,politica_monetaria,sentimiento_global,inflacion_eurozona,desempleo_espana,"('VIX', '^VIX')"
2018-12-14,3.1702215671539307,0.0,3.1776208742611187,3.0945481037835285,3.162822580793507,0.0,24974271,2.2,252.594,20304.874,3.8,1.13,14260.5,123.390816775956,3.12,4.46,104.05,14.4,21.6299991607666
2018-12-17,3.165513515472412,0.0,3.200828060674725,3.1560963889509464,3.1648409093989955,0.0,19564668,2.2,252.594,20304.874,3.8,1.1339,14260.5,123.390816775956,3.12,4.58,104.05,14.4,24.520000457763672
2018-12-18,3.1497063636779785,0.0,3.2045277717134373,3.141970912189012,3.1628233056127666,0.0,23963096,2.2,252.594,20304.874,3.8,1.1364,14260.5,123.390816775956,3.12,4.72,104.05,14.4,25.579999923706055
2018-12-19,3.1799752712249756,0.0,3.217644093349729,3.1641679078614633,3.1648405138508164,0.0,30431707,2.2,252.594,20304.874,3.8,1.1422,14260.5,123.390816775956,3.12,4.84,104.05,14.4,25.579999923706055
2018-12-20,3.130535840988159,0.0,3.171568024273356,3.1096837670119553,3.1278454163444467,0.0,27462924,2.2,252.594,20304.874,3.8,1.1432,14260.5,123.390816775956,3.12,5.11,104.05,14.4,28.3799991607666
2018-12-21,3.106656551361084,0.0,3.134571468204085,3.0498170066730044,3.1164098207864837,0.0,96489872,2.2,252.594,20304.874,3.8,1.1402,14260.5,123.390816775956,3.12,5.22,104.05,14.4,30.110000610351562
2018-12-24,3.065960168838501,0.0,3.0935389370103055,3.0555339748444243,3.0770589687762673,0.0,5652399,2.2,252.594,20304.874,3.8,1.1402,14260.5,123.390816775956,3.12,5.35,104.05,14.4,36.06999969482422
2018-12-27,3.057216167449951,0.0,3.1197730212541575,3.0111392846686904,3.0942120665877395,0.0,32726196,2.2,252.594,20304.874,3.8,1.1412,14260.5,123.390816775956,3.12,5.38,104.05,14.4,29.959999084472656
2018-12-28,3.121790885925293,0.0,3.126499449144839,3.060579564071192,3.0662968760186318,0.0,20924025,2.2,252.594,20304.874,3.8,1.1445,14260.5,123.390816775956,3.12,5.3,104.05,14.4,28.34000015258789
2018-12-31,3.118091106414795,0.0,3.1369253575668656,3.1076649114565322,3.117754963785242,0.0,6885185,2.2,252.594,20304.874,3.8,1.1456,14260.5,123.390816775956,3.12,5.33,104.05,14.4,25.420000076293945
2019-01-02,3.136925220489502,0.0,3.1587866788329535,3.033672986294585,3.0763865128965846,0.0,19834470,2.2,252.594,20304.874,3.8,1.1357,14260.5,123.390816775956,3.12,5.35,102.97,14.3,23.219999313354492
2019-01-03,3.1453335285186768,0.0,3.187710590835549,3.111700664452505,3.111700664452505,0.0,19019827,2.2,252.594,20304.874,3.8,1.1399,14260.5,123.390816775956,3.12,5.44,102.97,14.3,25.450000762939453
2019-01-04,3.262712001800537,0.0,3.2812097896866854,3.176275874965374,3.187374675995777,0.0,24676124,2.2,252.594,20304.874,3.8,1.141,14260.5,123.390816775956,3.12,5.05,102.97,14.3,21.3799991607666
2019-01-07,3.251276731491089,0.0,3.2916359787332357,3.2294155928483037,3.284909597899604,0.0,15376663,2.2,252.594,20304.874,3.8,1.1468,14260.5,123.390816775956,3.12,4.83,102.97,14.3,21.399999618530273
2019-01-08,3.2788548469543457,0.0,3.3118151007661205,3.251948687504218,3.2691015806577113,0.0,25603840,2.2,252.594,20304.874,3.8,1.1444,14260.5,123.390816775956,3.12,4.65,102.97,14.3,20.469999313354492
2019-01-09,3.3232510089874268,0.0,3.381435764118612,3.294999629569361,3.3094617826867676,0.0,23501867,2.2,252.594,20304.874,3.8,1.1524,14260.5,123.390816775956,3.12,4.52,102.97,14.3,19.979999542236328
2019-01-10,3.352511405944824,0.0,3.366637094083559,3.2845730684850203,3.301389501351181,0.0,16193913,2.2,252.594,20304.874,3.8,1.1517,14260.5,123.390816775956,3.12,4.54,102.97,14.3,19.5
2019-01-11,3.387489080429077,0.0,3.396233599646793,3.3256048399262825,3.3498205796430827,0.0,24160526,2.2,252.594,20304.874,3.8,1.1479,14260.5,123.390816775956,3.12,4.55,102.97,14.3,18.190000534057617
2019-01-14,3.3555378913879395,0.0,3.374035676653049,3.3141695805459657,3.3626007346113567,0.0,20986389,2.2,252.594,20304.874,3.8,1.1479,14260.5,123.390816775956,3.12,4.6,102.97,14.3,19.06999969482422
2019-01-15,3.3562111854553223,0.0,3.409687055218205,3.303407600998144,3.3720185503031486,0.0,18600378,2.2,252.594,20304.874,3.8,1.1392,14260.5,123.390816775956,3.12,4.55,102.97,14.3,18.600000381469727
2019-01-16,3.4372661113739014,0.0,3.4372661113739014,3.3632739937033236,3.3720185137848753,0.0,25342179,2.2,252.594,20304.874,3.8,1.1408,14260.5,123.390816775956,3.12,4.44,102.97,14.3,19.040000915527344
2019-01-17,3.388162612915039,0.0,3.4372663863597817,3.3794180921339136,3.406996866675361,0.0,19652507,2.2,252.594,20304.874,3.8,1.1386,14260.5,123.390816775956,3.12,4.4,102.97,14.3,18.059999465942383
2019-01-18,3.4978044033050537,0.0,3.4978044033050533,3.413049957638932,3.4231400093408437,0.0,31302793,2.2,252.594,20304.874,3.8,1.1362,14260.5,123.390816775956,3.12,4.27,102.97,14.3,17.799999237060547
2019-01-21,3.501840829849243,0.0,3.504531574813588,3.468208281902377,3.4978048727761304,0.0,8285333,2.2,252.594,20304.874,3.8,1.1362,14260.5,123.390816775956,3.12,4.27,102.97,14.3,17.799999237060547
2019-01-22,3.4776251316070557,0.0,3.483006300361012,3.4534093910940795,3.4675354001000396,0.0,31732897,2.2,252.594,20304.874,3.8,1.1359,14260.5,123.390816775956,3.12,4.41,102.97,14.3,20.799999237060547
2019-01-23,3.5159664154052734,0.0,3.54152704611932,3.458117811258475,3.4695530750425556,0.0,20085898,2.2,252.594,20304.874,3.8,1.139,14260.5,123.390816775956,3.12,4.39,102.97,14.3,19.520000457763672
2019-01-24,3.5011677742004395,0.0,3.5448903695889555,3.4608085293987556,3.5294194700843544,0.0,22846541,2.2,252.594,20304.874,3.8,1.1322,14260.5,123.390816775956,3.12,4.45,102.97,14.3,18.889999389648438
2019-01-25,3.567760944366455,0.0,3.571124295300326,3.511257867515251,3.533455470483924,0.0,21265203,2.2,252.594,20304.874,3.8,1.1407,14260.5,123.390816775956,3.12,4.34,102.97,14.3,17.420000076293945
2019-01-28,3.528073787689209,0.0,3.5859220681915316,3.520674801608271,3.548253569607113,0.0,15830273,2.2,252.594,20304.874,3.8,1.1438,14260.5,123.390816775956,3.12,4.41,102.97,14.3,18.8700008392334
2019-01-29,3.5381646156311035,0.0,3.552290305700779,3.505204351388371,3.5354738705358604,0.0,13877927,2.2,252.594,20304.874,3.8,1.1424,14260.5,123.390816775956,3.12,4.4,102.97,14.3,19.1299991607666
2019-01-30,3.536818265914917,0.0,3.5643970335981043,3.521347367243891,3.544890178589691,0.0,21445792,2.2,252.594,20304.874,3.8,1.1418,14260.5,123.390816775956,3.12,4.36,102.97,14.3,17.65999984741211
2019-01-31,3.4776251316070557,0.0,3.5603617639062186,3.421794663824456,3.554307668404584,0.0,26593989,2.2,252.594,20304.874,3.8,1.1454,14260.5,123.390816775956,3.12,4.37,102.97,14.3,16.56999969482422
2019-02-01,3.495786428451538,0.0,3.53883641568914,3.4049778916922304,3.5011675966695512,0.0,25487453,2.4,253.319,20304.874,3.8,1.1474,14480.8,123.390816775956,2.68,4.29,103.3,14.2,16.139999389648438
2019-02-04,3.478297710418701,0.0,3.5126031821705332,3.4372658579636974,3.4830062731349547,0.0,18914727,2.4,253.319,20304.874,3.8,1.1438,14480.8,123.390816775956,2.68,4.25,103.3,14.2,15.729999542236328
2019-02-05,3.5132761001586914,0.0,3.517984663293084,3.4682082869808775,3.486369933463077,0.0,25543242,2.4,253.319,20304.874,3.8,1.1406,14480.8,123.390816775956,2.68,4.15,103.3,14.2,15.569999694824219
2019-02-06,3.525383949279785,0.0,3.528074373484384,3.473589434379589,3.4782979974844426,0.0,38241211,2.4,253.319,20304.874,3.8,1.138,14480.8,123.390816775956,2.68,4.13,103.3,14.2,15.380000114440918
2019-02-07,3.4150686264038086,0.0,3.521348083153111,3.409014530293523,3.5045316484529176,0.0,19900996,2.4,253.319,20304.874,3.8,1.1357,14480.8,123.390816775956,2.68,4.29,103.3,14.2,16.3700008392334
2019-02-08,3.402287244796753,0.0,3.441301273125183,3.3747084788349535,3.4103591569677008,0.0,16812897,2.4,253.319,20304.874,3.8,1.1326,14480.8,123.390816775956,2.68,4.32,103.3,14.2,15.720000267028809
2019-02-11,3.440629005432129,0.0,3.4803156472510692,3.4231402867079694,3.431884806443444,0.0,15736127,2.4,253.319,20304.874,3.8,1.1277,14480.8,123.390816775956,2.68,4.28,103.3,14.2,15.970000267028809
2019-02-12,3.4984772205352783,0.0,3.503858388826509,3.430538888338197,3.4742614821046094,0.0,19759675,2.4,253.319,20304.874,3.8,1.1316,14480.8,123.390816775956,2.68,4.17,103.3,14.2,15.430000305175781
2019-02-13,3.431211471557617,0.0,3.508566927938744,3.431211471557617,3.4904052846093974,0.0,19557997,2.4,253.319,20304.874,3.8,1.1288,14480.8,123.390816775956,2.68,4.12,103.3,14.2,15.649999618530273
2019-02-14,3.382108211517334,0.0,3.4473558084419524,3.3565472575781885,3.4453379903268195,0.0,25569651,2.4,253.319,20304.874,3.8,1.1284,14480.8,123.390816775956,2.68,4.17,103.3,14.2,16.219999313354492
2019-02-15,3.4937684535980225,0.0,3.5099122797552034,3.3622645253285075,3.3800900267726255,0.0,32310361,2.4,253.319,20304.874,3.8,1.1268,14480.8,123.390816775956,2.68,4.12,103.3,14.2,14.90999984741211
2019-02-18,3.5159664154052734,0.0,3.537491089533572,3.4998225890622816,3.503185939674866,0.0,11667295,2.4,253.319,20304.874,3.8,1.1268,14480.8,123.390816775956,2.68,4.12,103.3,14.2,14.90999984741211
2019-02-19,3.490405559539795,0.0,3.5300921997642822,3.449373386585361,3.497804546194003,0.0,19183939,2.4,253.319,20304.874,3.8,1.1328,14480.8,123.390816775956,2.68,4.11,103.3,14.2,14.880000114440918
2019-02-20,3.5226926803588867,0.0,3.53210980516788,3.48300604252284,3.4971317297363296,0.0,17642761,2.4,253.319,20304.874,3.8,1.1328,14480.8,123.390816775956,2.68,4.08,103.3,14.2,14.020000457763672
2019-02-21,3.5139482021331787,0.0,3.535473196551241,3.491077995797351,3.5280738895100057,0.0,17236530,2.4,253.319,20304.874,3.8,1.1338,14480.8,123.390816775956,2.68,4.04,103.3,14.2,14.460000038146973
2019-02-22,3.5159664154052734,0.0,3.551617097957074,3.500495195035445,3.504531151621193,0.0,14998080,2.4,253.319,20304.874,3.8,1.1342,14480.8,123.390816775956,2.68,4.05,103.3,14.2,13.510000228881836
2019-02-25,3.534801483154297,0.0,3.5576716952650123,3.51798504694891,3.541527865188346,0.0,10919299,2.4,253.319,20304.874,3.8,1.1345,14480.8,123.390816775956,2.68,4.0,103.3,14.2,14.850000381469727
2019-02-26,3.5307648181915283,0.0,3.534800774902028,3.482333658412308,3.516639130078168,0.0,26476277,2.4,253.319,20304.874,3.8,1.1374,14480.8,123.390816775956,2.68,4.01,103.3,14.2,15.170000076293945
2019-02-27,3.6168646812438965,0.0,3.622246170989096,3.5152937933185004,3.519329750254002,0.0,31576822,2.4,253.319,20304.874,3.8,1.137,14480.8,123.390816775956,2.68,3.94,103.3,14.2,14.699999809265137
2019-02-28,3.682111978530884,0.0,3.694219848354301,3.5778503541983144,3.5946667866063766,0.0,34997795,2.4,253.319,20304.874,3.8,1.1379,14480.8,123.390816775956,2.68,3.92,103.3,14.2,14.779999732971191
2019-03-01,3.6182103157043457,0.0,3.7063281232359353,3.6182103157043457,3.6969106762906585,0.0,23937193,2.41,254.277,20304.874,3.8,1.1376,14525.9,123.390816775956,2.57,3.86,104.35,14.2,13.569999694824219
2019-03-04,3.5892858505249023,0.0,3.6659683895464408,3.579196118725256,3.647134137987956,0.0,15456296,2.41,254.277,20304.874,3.8,1.1328,14525.9,123.390816775956,2.57,3.9,104.35,14.2,14.630000114440918
2019-03-05,3.5697786808013916,0.0,3.6256088245746043,3.5280739037151174,3.5906307485977664,0.0,22738005,2.41,254.277,20304.874,3.8,1.13,14525.9,123.390816775956,2.57,3.91,104.35,14.2,14.739999771118164
2019-03-06,3.6135013103485107,0.0,3.6498245985960933,3.558343451262344,3.5650701524361454,0.0,16851126,2.41,254.277,20304.874,3.8,1.132,14525.9,123.390816775956,2.57,3.98,104.35,14.2,15.739999771118164
2019-03-07,3.510584831237793,0.0,3.6572235140672023,3.4789701061262646,3.6242635770457072,0.0,27831516,2.41,254.277,20304.874,3.8,1.1214,14525.9,123.390816775956,2.57,4.1,104.35,14.2,16.59000015258789
2019-03-08,3.4547553062438965,0.0,3.4910786002871457,3.4258309997762764,3.4742621654162145,0.0,18920786,2.41,254.277,20304.874,3.8,1.1243,14525.9,123.390816775956,2.57,4.18,104.35,14.2,16.049999237060547
2019-03-11,3.4984772205352783,0.0,3.51462072540897,3.450718670363754,3.4789700444527805,0.0,16758755,2.41,254.277,20304.874,3.8,1.1226,14525.9,123.390816775956,2.57,4.12,104.35,14.2,14.329999923706055
