Date,Adj Close_SAN.MC,Close_SAN.MC,Dividends_SAN.MC,High_SAN.MC,Low_SAN.MC,Open_SAN.MC,Stock Splits_SAN.MC,Volume_SAN.MC,tasa_interes,inflacion,PIB,desempleo,tipo_cambio,liquidez_M2,materias_primas,politica_monetaria,sentimiento_global,inflacion_eurozona,desempleo_espana,"('VIX', '^VIX')"
2003-04-15,1.8110743761062622,5.971957206726074,0.0,5.989266872406006,5.816165924072266,5.971957206726074,0.0,31995756,1.26,183.2,14743.567,6.0,1.0801,5905.5,63.1125094945253,3.96,7.07,81.05,11.4,22.559999465942383
2003-04-16,1.8032000064849854,5.9459919929504395,0.0,6.041196823120117,5.902716159820557,5.9459919929504395,0.0,32377089,1.26,183.2,14743.567,6.0,1.0872,5905.5,63.1125094945253,3.96,7.05,81.05,11.4,22.520000457763672
2003-04-17,1.8399467468261719,6.067162036895752,0.0,6.067162036895752,5.8421311378479,6.067162036895752,0.0,22790558,1.26,183.2,14743.567,6.0,1.0907,5905.5,63.1125094945253,3.96,6.97,81.05,11.4,21.5
2003-04-18,1.8399467468261719,6.067162036895752,0.0,6.067162036895752,6.067162036895752,6.067162036895752,0.0,0,1.26,183.2,14743.567,6.0,1.0882,5905.5,63.1125094945253,3.96,6.97,81.05,11.4,21.5
2003-04-21,1.8399467468261719,6.067162036895752,0.0,6.067162036895752,6.067162036895752,6.067162036895752,0.0,0,1.26,183.2,14743.567,6.0,1.0857,5905.5,63.1125094945253,3.96,6.92,81.05,11.4,21.950000762939453
2003-04-22,1.855695366859436,6.119091987609863,0.0,6.119091987609863,5.954647064208984,6.119091987609863,0.0,45929521,1.26,183.2,14743.567,6.0,1.0966,5905.5,63.1125094945253,3.96,6.86,81.05,11.4,20.700000762939453
2003-04-23,1.8504457473754883,6.101781845092773,0.0,6.231606960296631,6.058506965637207,6.101781845092773,0.0,84887636,1.26,183.2,14743.567,6.0,1.0949,5905.5,63.1125094945253,3.96,6.71,81.05,11.4,20.799999237060547
2003-04-24,1.829447627067566,6.0325422286987305,0.0,6.1796770095825195,6.015232086181641,6.0325422286987305,0.0,193523218,1.26,183.2,14743.567,6.0,1.1039,5905.5,63.1125094945253,3.96,6.69,81.05,11.4,20.329999923706055
2003-04-25,1.8215733766555786,6.006577014923096,0.0,6.084472179412842,5.9373369216918945,6.006577014923096,0.0,36030101,1.26,183.2,14743.567,6.0,1.104,5905.5,63.1125094945253,3.96,6.68,81.05,11.4,20.799999237060547
2003-04-28,1.8635685443878174,6.145057201385498,0.0,6.145057201385498,5.911372184753418,6.145057201385498,0.0,105571341,1.26,183.2,14743.567,6.0,1.0999,5905.5,63.1125094945253,3.96,6.64,81.05,11.4,20.84000015258789
2003-04-29,1.8504457473754883,6.101781845092773,0.0,6.266226768493652,6.101781845092773,6.101781845092773,0.0,62580136,1.26,183.2,14743.567,6.0,1.101,5905.5,63.1125094945253,3.96,6.55,81.05,11.4,20.760000228881836
2003-04-30,1.8478214740753174,6.0931267738342285,0.0,6.171021938323975,6.041196823120117,6.0931267738342285,0.0,45000020,1.26,183.2,14743.567,6.0,1.118,5905.5,63.1125094945253,3.96,6.44,81.05,11.4,21.209999084472656
2003-05-01,1.8478214740753174,6.0931267738342285,0.0,6.0931267738342285,6.0931267738342285,6.0931267738342285,0.0,0,1.26,182.9,14743.567,6.1,1.1238,5965.3,63.1125094945253,3.57,6.37,81.0,11.3,21.59000015258789
2003-05-02,1.8559575080871582,6.067162036895752,0.052564,6.127747058868408,5.8334760665893555,6.067162036895752,0.0,86296022,1.26,182.9,14743.567,6.1,1.12,5965.3,63.1125094945253,3.57,6.26,81.0,11.3,20.6299991607666
2003-05-05,1.8691953420639038,6.110436916351318,0.0,6.205642223358154,6.0931267738342285,6.110436916351318,0.0,99097153,1.26,182.9,14743.567,6.1,1.1271,5965.3,63.1125094945253,3.57,6.25,81.0,11.3,21.1299991607666
2003-05-06,1.8797852993011475,6.145057201385498,0.0,6.1796770095825195,6.041196823120117,6.145057201385498,0.0,105077587,1.26,182.9,14743.567,6.1,1.1354,5965.3,63.1125094945253,3.57,6.34,81.0,11.3,20.799999237060547
